Ulasan,Sentimen,Deteksi_Bahasa
barang curiga yidak original akunemail marshallnya,negatif,id
toko milik reputasi baik cermin sungguh laku beli apple pencil 2 ipad air 5 apple pencil fungsi baik ipad,negatif,id
layar glitch bawa service kata seller intermittent jadi terima akhir minimal 1x hari rasa layar glitch bagi maaf,negatif,id
kemas aman banget masak tamper glass cuma pakai boble wrap ndak pakai kardus sama sekali tekuk sedikit pecah untung ganti sama tokpet uang,negatif,id
hati2 beli produk toko walaupun toko official jamin layan produk sesuai apa tawar beli paket bundling hampir 14 juta kasih pr,negatif,id
gapernah ngasih bintang 1 belum toko mana banget saran beli hp bekas sini beli sinyal on kirim malah bypass terus r,negatif,id
beli varian ibox garansi udah aktif tinggal 3 bulan expired padahal baru beli 13 july 2023 expired 29 oktober 2023 baru apa second kecew,negatif,id
barang kirim proteksi asuransi,negatif,id
untung banget tambah kayu kmrn extras hampir 2jt an tambah box aja kasi cuman bubblewarp kurir kalimantan ganas dus pesok2 parah untung laptop ama,negatif,id
ambil oknum 2 mungkin satu ambil driver dua ambil tokony kalo lihat reviewny banyak jadi sama,negatif,id
kecewa banget sih beli janji dapet bonus silicone case buat pencil nya beli barang di bilang bonus,negatif,id
jarang pakai tiba2 rusak mau claim masa garansi sulit alas butuh serial number box padahal serial number keyboard nya tanya l,negatif,id
kabel baru pakai minggu udh mati tulis kabel burem beda sama kabel bawa tulis jelas aga kecewa,negatif,id
niat packingnya tambah kayu bolong,negatif,id
barang dipake rekomendasi sama toko mau bantu masalah,negatif,id
bintang 1 1 bagi bawah apple watch bekas hapus cair ering cair alcohol layak habis bersih minta konfirmasi pa,negatif,id
awal chatingan beli tawar iphone ibox new nyata datang garansi nya barang bukan iboxsangat kecewa bahkan keti,negatif,id
apple pencil nya jadi mencharge or teks apabila ipad nya guna silicon case gap body ipad silicon case nya bagi plat ipa,negatif,id
request beli warna starlight datang malah versi nike memang lebih mahal mau pesan strap asli 2 opsi sama ml minta tukar,negatif,id
chat request non aktif regional kata tulis notes deskripsi sama order kasih notes barang dateng sesuai sama sekali,negatif,id
kira aktif imei gratis terus tahun imei kena biaya 400k per 3 bulan jujur kecewa sih saran,negatif,id
admin cs satu beri jawab berbeda2,negatif,id
dar terima barang sampai barang bagus fungsi kok garansi 3bulan kan iklan nya 12 bulan suruh tunggu 37hari kata,negatif,id
sayang sekali lama komplain nyata kartu esim smartfren guna hp imei nya daftar kemenperin,negatif,id
tipu awal mau ngebatalkan pesan gabisa terus mau ganti barang iphone oke deal bilang dana kurang nila 7jutaan transfer awal suruh k,negatif,id
kecewa sama anteraja barang dana udah ditruskan jual kecewa sekali,negatif,id
kirim masalah,negatif,id
parah sih packingnya harga segitu kalau info buat biaya packing lebih beli kasih harus standart khusus packing barang den,negatif,id
sinyal hilang diurusin,negatif,id
awal nya semua baik bagus pakai 1 bulan tiba2 signal no service nyata imei daftar komplain terus 1 bulan tetap nyala,negatif,id
baru kali beli hape masalah sinyal review balas dengankalau mau aktif beli ibox gan jangan inter lebih bijak mah,negatif,id
barang masalah pakai kurang lebih 1 bulan signal hp mati di pakai telefon browsing maupun terima telfon panggil chat denga,negatif,id
sampah pake,negatif,id
kaga pas lubang sesuai padahal beli ipad sini harus salah jad mubajir kepake,negatif,id
orang udah nanya kirim langsung apa engga memang buru2 order pake gosend instant suruh order langsung eh malah baru kirim 3 jam kalo memang,negatif,id
pecaaaahhh ribet urus kl niat baik tinggal kirim,negatif,id
minta 1 unit gold 1 unit black datang 2 unit gold konfirmasi kejar omzet jangan bos,negatif,id
awal beli masalah cek imei connect sinyalga lama stlh beli sinyalny hilang pas cek imei terdaftarudah coba hubung aftersale,negatif,id
hallo admin beli bulan juli 22 skrg bulan oktober imei udh 2x block gimana dong respon lama sekali buat vt tiktok kalau tindakl,negatif,id
beli baru 4 bulan sinyal ilangimei kemenperinnyesek banget banyak kerja penting tiba2 hp ilang sinyal buat kalian mending beli barang resmi aja,negatif,id
order kirim instant konfirmasi jual via chat kirim langsung baru kirim besok,negatif,id
after sales lama,negatif,id
order ukur 44 dateng lebih keciludah pilih kirim instal pularugi banyakk,negatif,id
airpodsnya oke casenya jelek carabinernya rusak awal banget dibukacase atas lepas mulu worth case harga 80k update suruh lapor chat oper suruh,negatif,id
jual hp imei daftar proses daftar sangat lambat,negatif,id
barang datang tangg 28 september jadi tgl 4 oktober toko tim tokopedia bantu tgl 3 kembali dana ini jam,negatif,id
1 imei daftar halaman produuct imei siap pakai 2 respond masalah lambat sekali 3 beli april22 blokir 2x 5 6jul22 blockier 8jul22 bi,negatif,id
jujur kecewa ikut po iphone 14 promax silver 512 gb 6 september sampe skrg barang bom sampe tiap tanya cuma bilang info diinfo2 bentar,negatif,id
hp signal sangat susah sekali komplain nya suruh tunggu 14 hari udah gitu layar blank,negatif,id
baru beberapa hari tiba2 sinyal ilang nyata emei nya daftar min belanja sini berkali2 masa masalah bgini,negatif,id
buruk experience belanja toko,negatif,id
barang hilang driver nyata sering jadi kembali dana lapor polisi dulu baru deh ditinjut thanks to polres jakpus moga korban t,negatif,id
hati2 guys mau beli toko imei daftar kata mau bantu kemudian diulur2 super slow respon minta bukti registrasi on process dik,negatif,id
barang belum unboxing karna rumah pakai kirim jne expressyes pasti jual kirim barang jam 1600,negatif,id
imei2 hp daftar kemenperin hp guna simcard indonesia sesuai janji customer service,negatif,id
salah kirim krim genwrasi 1,negatif,id
silicon case nya pdhl pesan paket,negatif,id
hati2 belanja sini cermat dulu review2 nya jual jujur sen grey kosong ganti silver beda harga 100rb komplain mau balikin 88250 a,negatif,id
imei daftar skrg guna sangat kecewa,negatif,id
barang rusak,negatif,id
toko lihat percaya barang bermslh sensor beres2 mau selesai internal lama sekali malah ajarin adminnya ttg produk mereka jual,negatif,id
barang rusak garansi sisa 9 hari jelek,negatif,id
request spesifik lalu chat notes box terima bagus hadiah kasih sobek penyok kurang layak beri,negatif,id
overall kecewa sama layan beli tanya lebih kirim instan langsung kirim drmh orang jual me,negatif,id
barang kirim lengkap lebih minggu kembali danabarang lengkap juga kirim salah toko mau bert,negatif,id
barang bintang 5 customer service bintang 1 cust service bukan bantu reply jawab template tau memang barang diambild,negatif,id
jual alas barang salah kurir mau laku kembali barang,negatif,id
box nya buka duluan plastik seal trus kotor liat baru waktu complain harus video unboxing awal padahal komplain ha,negatif,id
sejak beli hari hampir 2 bulan iphone mendptkan sinyal jelas sama sekali kapan selesai aneh malah dita,negatif,id
buat kalian mau beli toko mudahmudahan ulas bantu kalian mau beli handphone toko saya 2 order iphone 13 promax googl,negatif,id
gambar tera jelas free case anti gores jual konfirmasi kalau stock habill rasa rugi alhasil hari pakai layar baret h,negatif,id
maaf toko nipu nih amanah imei masalah pake sim card lokal mana single sim pdhl asli dual sim uda tanya awal malah,negatif,id
baterai healtynya sesuai deskripsi walaupun kirim karna barang belum kirim baterai sesuai komplain lalu kiri,negatif,id
tangan 3 cs nanda rio amar rasa kecewa koordinasi cs sebut jelas berulangulang ba,negatif,id
beli 13 pro ibox datang iphone 12 pro max hdc proses lanjut kembali barang kata tukar akhir arah oknum kurir anter aja melakuka,negatif,id
sesuai pesan,negatif,id
barang palsu layak jual perhati dulu jual barang kpd cust pertama kali beli charger baru 10 hari pakai tbtb fungsi da,negatif,id
terang deskripsi bingung gambar pajang sama datang beda sangat sesal belanja toko,negatif,id
kembali lebih proses admin sangat lama merespon padahal langgan next u bukan toko pilih after salesnya sangat buruk penge,negatif,id
halo item kurang sesuai nih deskripsi sebut inter nya mana pada akhir terima barangny,negatif,id
order 256gb kirim 128gb hampir 1 bulan refund gilir beli responnya cepat kilat kalau memang proses refund tokopedia lama digan,negatif,id
surface baru pakai buka sering bluescreen hang musti komplain sama distributorimportir nya nih,negatif,id
baca dulu beli unut bom bulan langsung mati total mau claim garansi unauthorized modification alias produk pernah bong,negatif,id
gapantes kasih bintang bahkan 1 hati hati banget buat kalian beli admin sangat responsif dichat sangat sepele tenang aja barang jamin aman ka,negatif,id
setel 1 bulan pakai tiba hp fungsi signal hp hilang tanya after salesnya kata daftar imei nya minggu lebih tpi tetap tid,negatif,id
kecewa sih harga turun 111 jadi 106 pas barang udah sampe maaf aku kasih bintang 1 oke layan sangat baik paket aman karna packing k,negatif,id
signal imei masalah,negatif,id
sangat sayang apa tera deskripsi produk wall outlet cradle charger serta kan paket jual harus admin cek,negatif,id
barang iphone terima kondisi baru buka box sinyal layan jual sangat lama tangan nya pingpong sana sini suruh hubung aftersales nya,negatif,id
imei daftar hati2 seller iming2 imei daftar,negatif,id
pake instan kurir order jam 7 pagi kirim jam 5 sore mikir2 kalo mau beli sini,negatif,id
barang jaring awal beli komplain lama proses nya,negatif,id
barang bagus banget toko keren rating top banget cumaaaaa sayang banget mungkin lalai oknum tentu sebab barang mesti datang deh,negatif,id
ku kira mulus like new pas datang retak,negatif,id
layan kurang bagus kemudian kirim sangat lama,negatif,id
well baru kali beli product apple ada mati total padahal baru buka segel pas cek garansi jalan awal masalah karna gagal pai,negatif,id
barang sesuai 2 bulan pakai imei blokir sinyal aftersales servicenya bantu baca chat wa kalau deskripsi produk tulisann,negatif,id
baru pakai 2 minggu sinyal blokir hp bukan garansi sein ditrade in cm dihargain 88jtparah toko kapok beli sini bener2 parah toko,negatif,id
suka sama sekali ngasih rating buruk kondisi hp datang sangat bagus imei hp luar tidak temu ber,negatif,id
barang bagus original seller fast respon ny kalo mau nya aja kl problem mau tau sekali aja blanja sini,negatif,id
unit masalah layan beri studio ponsel sangat kurang profesional,negatif,id
produk akhir kirim baik kecewa sama layan nya kes cuek sengaja pilih kirim kurir toko lebih mahal instant delivery deh,negatif,id
barang sih sesuaicm kirim klo bilang sama seller mau kirim aga siang jangan dipercayapengalaman akhir baru malem dikirimitupun tanya terus,negatif,id
iphone 13 inter signal suka hilang pihak seller jelas smoga jadi gni,negatif,id
barang banyak masalah dwngan jaring komplqn responnya lama,negatif,id
jaringqn hilang hilang komplain lama proses nya admin responnya lama,negatif,id
layan barang seller oke bintang 1 kirim amburadul hati2 buyer kalo mau pake jasa kurir rekomendasi 3 hari jadi 8 h,negatif,id
screenguard pecah pm admin suruh complain komplain malah tolak packing kurang aman tebal bubble wrap nya,negatif,id
bukan jatuh sharing alam apa ada barang original aktif 15 hari garansi kirim masa ampun gosend grab send cancel berkalika,negatif,id
biar bintang bicara jual layak buat jual,negatif,id
teliti beli waktu dimasukin simcard baca sama hp nya seperti imei daftar kemenperin besok 1 minggu komplain dillayangka,negatif,id
kirim sameday lama,negatif,id
barang activasi satu bulan lalu padahal beli bulan desember,negatif,id
foto free install barang datang installl toko paya chat kan kasih tau mw install apa,negatif,id
jual merespon beri layan baik janji beli respond baik aftersales tangan jual sendiri,negatif,id
toko kirim barang sesuai waktu janji,negatif,id
barang datang refund,negatif,id
hati2 sama toko ni judul jual barang sama barang nyata kirim beda saran nih hati2 sama toko kalau mau refund bahkan sedia nambah aja maujudulnya,negatif,id
salah type,negatif,id
minus 10 bintang minus 100 parah banget nih toko claimnya doang tinggi official store beli sih sumpah kecewa banget awal claim bilang semua ready st,negatif,id
product nya charge padahal baru sekali charge batere nya rusak jawab kalo lebih 7 hari bisa ganti atur nya baran,negatif,id
pesan paket hemat kirim cuma case temper coba komplain kirim video unboxing tahap cek lanjut sudah mau,negatif,id
benar benar kecewa deskripsi tulis appla pencil gen 2 nyata kirim apple pencil gen 1 ditest fungsi akhir buang sampah,negatif,id
awal takut beli via online barang harga gin aman banget packaging aman gdn gratis asuransi 12 bulan tambah gratis garansi bias,positif,id
so excited semua aman tentram jemput sendiri barang pokok ikutin instruksi admin2nya aja adminnya gercep banget pokok 247 deh jempol banget buat adminn,positif,id
ukur pas device terima kasih studio ponsel,positif,id
maju mundur milih kirim instant krna nominal gede alhamdulillah siang sen jam 12 trus jam 3 sore udah nyampe chat admin very fast respon produk,positif,id
pikir pas laptop 14 order belum nyata versi range 14 149 inch jadi sedikit longgar deh m3 14 inch,positif,id
barang datang segel pen pressure aman produk original,positif,id
kualitas barang sangat baik packingnya aman baik,positif,id
pertama kali beli laptop online milik banyak ragu khawatir jual jawab semua tanya ikan proses pen,positif,id
terima screen keyboard protector kondisi baru pasang,positif,id
box segel packing kemas segel rapih amanseller fast respon,positif,id
barang sesuai pesan kualitas jamin asli no tipu tipu keren segel no repack,positif,id
cs cukup responsive barang terima aman sesuai order kirim cepat,positif,id
cepet barang bagus,positif,id
barang selamat adminnya ramah,positif,id
barang segel waktu terima garansi resmi seller terpercayamlm order pagi proses kirim terimakasih seller,positif,id
barang sesuai pesan toko rekomend beli gadget,positif,id
ipad langsung kirim hari kondisi baik packing aman original seller responsif thank you studio ponsel,positif,id
kirim cepat admin gesit barang selamat jauh kendala moga next order,positif,id
barang kemas baik kirim cepat barang langsung coba fungsi baik trims,positif,id
seller jelas jangan beli sini,negatif,id
keren banget layan asik sangat informatif cepat kirim,positif,id
barang respon packaging harga,positif,id
oke mantap,positif,id
minta nii depan nyakalau kardus nya agk gede barang pesan barang nya bungkus dulu sama bubble wrap ganjal sama gumpal kertas dlm kardus,negatif,id
barang original pickup langsung lancar so far so mantap barang oke cs responsif bantu,positif,id
barang nya bagus banget cuman pas awal batre kosong banget sangat bantu tracking olah raga,positif,id
kirim sangat cepat,positif,id
seller baik barang original kode paa request garansi ibox imei sesuai box hp,positif,id
barang kondisi baru coba cek device aman senang rasa punya device impi video unboxing diupload,positif,id
kondisi baru mantap sesuai pesan,positif,id
mantap barang sesuai deskripsi,positif,id
toko nya mantap pesan langsung proses tengah malam admin aktif balasin chat beri info,positif,id
tulis huawei matepad 104 nyata pakai nulis lancar,positif,id
produk gaada masalah cuma servicenya kurang bener klo toko libur jangan sen gosendnya dong jadi telfon terus omelin sama orang gosend buka,positif,id
mantap cepat ber kredibilitas sesal beli sini,positif,id
mantap sesuai pesan moga tahan lama,positif,id
fast respon sangat responsif cepat packaging sangat rapi jamin sangat rekomendasi,positif,id
barang sampai cepat sesuai pesan terima ada baik seller responsif,positif,id
barang sesuai pesan,positif,id
resmi segel original ibox kirim cepat tentu respon admin sangat cepat,positif,id
mks iphonenya kondisi baik moga awet mks seller baik amanah,positif,id
barang sesuai pesan original sellernya fast respon terimakasih,positif,id
beli dua studio ponsel admin nya sat set packing super tebal kirim cepat paling penting barang original,positif,id
barang nya original request gdn kasi sesui varian seller nya ramah,positif,id
kirim cepat kepala charger dapat kaki 3 tebal uk jadi perlu beli adapter biar masuk stopkontak indo liat review kepala 2 lempeng,positif,id
barang asli saa betul harga promo admin sangat responsif foto bintang bicara,positif,id
produk sesuai pesan berdungsi normal original thanks,positif,id
alhamdulillah moga awet,positif,id
barang kualitas bagus kirim cepat original mudah mudah awet toko trusted,positif,id
alhamdulillah aman kardus sedikit penyek pojok aja maklum kirim pake next day langsung sampe besok isi,positif,id
fungsi baik,positif,id
barang mulus cacat smartphone kondisi prima walaupun garansi aktif sejak tanggal 1 cs sangat responsibility dichat,positif,id
barang datang sesuai kondisi bagus minggu kerja normal garansi battery health aman very trusted shop layan cs sangat gercep,positif,id
mantap si kali beli sini deh thanks gan,positif,id
beberapa kali order sini sangat muas proses cepat packing aman jelas original,positif,id
beberapa kali order sini sangat muas proses cepat packing aman baru pertama pake brand ternyta build quality nya premium banget,positif,id
seller fast response sangat informatif barang terima ada bagus cacat sedikit,positif,id
gila sih mac pertama hasil sendiri so satisfying thank you studio ponsel for served me well,positif,id
packaging aman banget nama barang bungkus depan bubble wrap tebel mantap barang darat aman sentosa,positif,id
barang datang baik fungsi enggak nyesel beli deh sni tks,positif,id
barang bagus layan cepat baik,positif,id
barang aman semua sudut box ipadnya penyot mungkin kurang kalau pakai bubble warp rekomendasi tambah pack kayu,positif,id
apple pencil pack bareng ipad barang aman,positif,id
barang resmi cs sangat sangat ramah kirim cepat mantap banget suka,positif,id
kirim tepat waktu barang fungsi baik,positif,id
sen minggu sore senin siang dah sampe cepet banget pake id express packing rapi produk sesuai pesan garansi aman sampe 18 agustus 2025,positif,id
kualitas baik produk baik packing aman seller responsif moga segera cekout wishlist produk lain studio ponsel,positif,id
amann segel,positif,id
layan baik cepat responsif kirim cepat percaya kualitas produk sesuai deskripsi barang baru original,positif,id
barang oke harga oke proses cepat hitung jam makin yakin beli barang apple ikut sini,positif,id
kirim sangat lama lewat tanggal estimasi kirim resi mentok gudang sortir semingguseller tanya jawab formalitas tunggutunggu bias,negatif,id
bungkus rapi double wrap,positif,id
harga miringgaransi resmioriginal green fil respon jual cepatlangsung proses tunggu 3jam barang tiba selamat,positif,id
barang oke bgtpresisi nyamanrespon jual cepat kirim cepat,positif,id
barang bagus sales responsif barang cepat,positif,id
barang sesuai deskripsi seller responsif cepat barang aman,positif,id
barang bagus seegelll mudah mudah barang guna,positif,id
sticker belakang ny kotor,positif,id
barang original segel seller ramah sekali responsive kirim tepat waktu bubble wrap jadi aman recommended,positif,id
barang terima sesuai deskripsi etalase proses mesan kirim cepat highly recommended seller keep up the mantap work,positif,id
barang sesuai kirim lancar moga laptop awet depan keep up the mantap work,positif,id
barang original kirim cepat csnya sangat informatif moga barang awet pakai daily jangka panjang,positif,id
barang terima sleeve tebel,positif,id
barang mantap sesuai,positif,id
barang mantap sesuai pesan,positif,id
kualitas kirim cepat packing rapih,positif,id
barang original kirim cepat meski pakai trucking,positif,id
mantap segel admin nya fast respon banget ad kendala aman garansi aktif sesuai unit puas banget kendala kurrir tetap bantu respon adm,positif,id
barang cepat 24 jam jkt pdg packing sangat aman rapih kurang sama sekali unit datang sesuai pesan sukse,positif,id
kirim cepat barang sesuai ekspektasi recommended seller,positif,id
kirim cepat paket aman rusa barang bagus no lecet,positif,id
barang mantap original,positif,id
sangat bagus recommended seller beberapa kali beli studio ponsel,positif,id
barang bagus pas rspon toko baik,positif,id
baru kali screen protector kualitas zonk pasang lebih 1 mm sisi kanan jual mau tanggung jawab,negatif,id
mantap si garansi apple terjyata butuh beli ac plug dulu gais gadikasih tau sama adminnya hehehe,positif,id
kirim cepat barang aman packaging safe,positif,id
barang sesuai ekspektasi jual ramah proses pakek lama boss anyway super puas,positif,id
barang sesuai seller ramah cepat proses,positif,id
the best smuanya original seller ramah gercep,positif,id
susah masangnya mending beli toko dipasangin screen protectornya tpbbuat memang sendiri gpp,positif,id
datang aman walaupun kirim lama worth it buat ditungguin,positif,id
awal ragu mau beli mac online apa harga bilang murah nyata amanah banget sellernya barang new greenpeel next order bakal store,positif,id
slim folio ipad 7th7th9th generation keyboardnya fungsi ipad air 3 maupun ipad pro 7th generation bilang compatible baran,negatif,id
kualitas mantap barang bagus packing rapi,positif,id
mantap poko baik barang bagus packing aman,positif,id
barang aman,positif,id
barang lengkap aman moga awet packing aman,positif,id
toko online amanah barang sesuai segel kemas aman wrapping tebel lap lapis,positif,id
bagus performa laptop,positif,id
fast respond dapet sesuai request saa barang original 100,positif,id
barang aman lecet sedikit kardus box macbook nya penyok sama sekali macbook nyala fungsi baik deh,positif,id
barang terima baik emas sangat amaannn,positif,id
sekian kali beli sini selalu puas,positif,id
barang original gan cs fast response harga banding kemarin murah banget pas flash sale,positif,id
puas banget udah puluh kali belanja toko sallernya cepat respon terpecaya,positif,id
barang segel fungsi baik,positif,id
alhamdulillah ipadnya udah sampe fungsi baik sellernya ramah gercep kereeennn,positif,id
barang fungsi normal packing aman barang terima utuh jogja,positif,id
coba fungsi baik pake k mi pad aman,positif,id
barang segel garansi aktif 100 baru,positif,id
produk sesuai pesan chat jga dibales cepat seller mantap,positif,id
kirim cepat aman produk original masalah,positif,id
barang fungsi baik aktivasi random bulan 1 packaging aman walaupun smpet tkt ekspedisi jalan thx seller,positif,id
aman kecewa semua fungsi baik moga aman nan awet thanks admin admin baik,positif,id
mantap pesan tiba cuma dlam hitung jam,positif,id
barang baru moga awet kirim relatif fungsi baik mantap,positif,id
udah terima hari lalu expect bakal cepet bannget datang no minus mulus aman 10010,positif,id
request unit paa ready saa yda gpp penting resmi cuma beda importir aja admin responsif slalu standby untum update tracking pesan,positif,id
pakai tengah bulan barang fungsi sangat baik performa baterai sangat baik,positif,id
layan baik proses kirim cepat packing barang baik mantabb,positif,id
barang sesuai pesan terima kasih min alhamdulillah pakai aman jalan lancar,positif,id
barang bagus kirim cepat segel recommended,positif,id
mantap barang sesuai order makasih seller tokped,positif,id
barang lengkap sesuai tipe ipad temperd glass sesuai,positif,id
barang segel pas fungsi baik,positif,id
barang segel waktu emas baik barang fungsi baik,positif,id
sesuai pesan recomended sellerthanks sukses terus kak,positif,id
barang aman percaya rekomendasi,positif,id
barang tiba aman pakging tebal jadi aman samapai tuju barang asli cek semua kerusakaan cacat apa ipad fungsi norma,positif,id
kak box mac nya penyok isi dalam aman,positif,id
presisi tempel baik isi 2 lumayan buat cadang,positif,id
packing aman barang fungsi baik,positif,id
sangad bike sekali,positif,id
produk bagus,positif,id
layan mantap barang guaranteed percaya,positif,id
macbook 3 beli toko pernah ngecewain emang agan makasihhhhh xixi,positif,id
kualitas mantap bagus sekali kirim sangat cepat sangat puasss terimakasih banyak admin sangat responsif toppp,positif,id
respon cepat kirim cepat packing sangat rapih cs responsif mantap,positif,id
udh langgan dsini mantap pokok moga makin baik layan depan,positif,id
landed safely kirim supercepettttt gores noda sedikit harga paling murah ada cacat review jujur banget,positif,id
packingannya sih bagus kendala sedikit atas balas tim aftersalesnya moga aman terus,positif,id
mantap percaya luar biasa kaya inter japan kaya unit,positif,id
impressed cs nya sangat fast response sabar jawab pertanyaanpertanyaan packing sangat aman highly recommended,positif,id
cepet banget respon jual packing kirim cepet bgtt terima kasih banyak,positif,id
barang segel waktu garansi resmi barang fungsi baik kualitas barang oringinal top top top banget rel pelayanal sangat ramah,positif,id
sempet deg2an butuh cepet kirim instant untung cs nya responsif selalu stand by unit datang lengkap plus dipacking bubble wrap tebal t,positif,id
mantap responwalaupun jadi salah alamattmks,positif,id
biasa langgan kirim cepat admin responsive informative kualitas barang packing aman,positif,id
mantap checkout kemarin hari udah sampe,positif,id
barang warna sesuai cuman kepala charger beda gpp makasih studio ponsel,positif,id
baik managemen kirim barang jangan lewat estimasi,positif,id
review barang terima baik ipad apple pencil amanterima kasih studio ponsel,positif,id
produk baik bagus kirim cepat barang aman kendala,positif,id
alhamdulillah makasih banyak admin staff gudang studio ponsel layan ramah requestku diturutin ipadnya aman pencil pro aman poko puas bange,positif,id
seller mantap percaya aman andal terima kasih banyak,positif,id
macbook m3 cepat tipis relatif enteng lebih prefer body macbook belum,positif,id
cepat sekali kirim barang rapi segel saran pakai kurir toko profesional,positif,id
seller mantap fast respon barang bagus,positif,id
barang udah cepat pakai instan semog barang awet thank you,positif,id
layan bagus cepat kirim cepat aman,positif,id
keyboard fungsi baik langsung connect,positif,id
mantap garansi agustus 2025 barang mulus,positif,id
nyata mungil original superfast charging active,positif,id
product sesuai kualitas bagus lecet bagi luar software jalan normal garansi catat 2 minggu transaksi pi,positif,id
kirim aman barang original harga kompetitif mantap,positif,id
mantap jaya sentosaa,positif,id
terima kasih layan baik produk kualitas bagus,positif,id
mantap packing tebal aman barang sesuai segel mantap,positif,id
barang terima sesuai,positif,id
barang original segel lancar cacat sedikit kirim cepat packaging aman adminnya ramah2 banget sangat informatif kalo harga jangan ragu,positif,id
barang terima baik layan seller cepat,positif,id
barang 100 original harga paling jangkau banding beli toko recomended beli hp studio ponsel jamin original,positif,id
respon cepat barang cepat datang tinggal bonus nih,positif,id
kirim cepat packing aman barang original,positif,id
kirim super cepat jual responsif masalah stock langsung komunikasi buyer packing superr aman barang original,positif,id
oke barangkali kami kirim hri pak biar cek web nya habis di etalase kak eeeeee,positif,id
barang segel sesuai deskripsi,positif,id
barang aman mantap,positif,id
barang sesuai cepet sampai,positif,id
mantap macbooknya original performa lancar jaya,positif,id
langsung tes mantap,positif,id
barang cacat kirim cepat barang packing baik,positif,id
barang ny sampe aman barang ny bagus aman,positif,id
mantap ganti hp bini naik kelas bener kl 4 6 seller bintang 5 cepet saing banget hrgnyathx,positif,id
mantap fast respon,positif,id
bagus sesuai pesan kirim cepat responsif,positif,id
bagus fungsi baik sempat drama kait pngiriman tpi alhmdulillah berjln baik,positif,id
baru pertama kali beli sini puas banget sellernya gercep packingnya aman trs barang jamin oke,positif,id
ipad cpt nyampe datang selamat cs fast response,positif,id
ipad original packing super aman segel recomended,positif,id
toko paling murah pernah tahu orisinal,positif,id
nyata memang barang repack mungkin sellernya nyari benefit samsung kali aktif jumlah hp biar dapet komisi mungkin barang sih bagus mulus yah,negatif,id
apple pencil sampe aman sesuai spesifikasi seller ramah,positif,id
ipad nya mulus segel aman sesuai spesifikasi seller ramah aktif tanya yang paham beli sangat okeee debe,positif,id
barang segel original mantap mantap moga awet,positif,id
barang aman bal kirim lumayan cepet,positif,id
seller sangat supportive top deh layan no issue all mantap,positif,id
layan jual sangat baik mau jelas sabar kualitas produk ragu original new barang mulus 100 fungsi baik,positif,id
seller helpfulldan kalau problem helpfullproduknya mantaappengiriman cepatsukses gan,positif,id
beli dua kali selalu puas admin fastrep kirim cepat sekali terima kakshh,positif,id
barang harga cocok sayang warna sesuai dicheckout biru jadi space grey,positif,id
sangat puas belanja toko kirim cepat barang nya original kalau mau belanja tempat nya,positif,id
barang batu lengkap box plastik,positif,id
kasih bintang 5 dulu moga awet sempet review,positif,id
segel bagus lengkap,positif,id
barang sesuai deskripsi original kirim cepat bungkus aman,positif,id
barang original harga murah barang aman terima kasih,positif,id
barang terima kondisi baik admin fast respon ramah,positif,id
barang bagus cepat cs ramah solutif responsif recommend,positif,id
barang baik pengitiman cepat daan original,positif,id
barang original aman,positif,id
lumayan lama kirim padahal next day,positif,id
bagus sesuai barangny walaupun salah satu admin kaya niat jawab cuma admin lain responsif jadi oke,positif,id
fungsi baik mudah2an awet,positif,id
mantap original,positif,id
barang segel compatible sesuai harap,positif,id
produk originalgaransi resmi sinyal on segel kirim bilang cepat,positif,id
barang original 100 apple jangan ragu beli sini jamin original pas promo kasi gratis microsoft365 admin nya banyak responin nya cepet thanks ka,positif,id
darat selamat aman terima kasih studio ponsel barang original mulus,positif,id
poko garansi resmi baru punya,positif,id
produk segel moga aja original awet,positif,id
barang fungsi baik seller ramah,positif,id
apple pen fungsi baik seller responsive,positif,id
produk layan muas moga awet masalah unit,positif,id
kirim cepat aman,positif,id
belanja sini udah 2x jauh aman semua beli barang original aman semua resmi fiturnya lengkap nyala semua,positif,id
seller ramah sabar bagus layan barang tepat waktu proses cepat kondisi barang baru bagus,positif,id
sellernya gercep banget order dadak udah mau close hari di proses barang so far bener2 bnib trustworthy,positif,id
barang sesuai packing rapi tempered glass saran depan double karton biar aman,positif,id
senang sekali akhir tunggu datang barang okseller sangat ramah bantu puas layan toko,positif,id
mantap barang datang baik seller responsif,positif,id
baguussssss fast respon adminnyaaa,positif,id
jossss barang aman sentosa,positif,id
mantullll top cepet sampe terima kasih kak,positif,id
bagus lancar jaya,positif,id
mantap barang dipacking sangat aman sellernya fast respon thankyou seller,positif,id
terima kasih pesan darat selamat pesan sesuai garansi 2025 terima kasih studio ponsel berkah selalu,positif,id
bagus layan baik kirim cepat hp garansi ibox,positif,id
kirim cepat sangat recomended,positif,id
respon selernya cepat barang original,positif,id
barang sesuai original packingan rapi sesuai estimasi waktu produk belanja studio ponsel,positif,id
mantap betul diskon original,positif,id
barang bagus cepat,positif,id
beli bundling bareng mbp m2 2023 malah dapet screen keyboard protector doang pihak admin aftersalesnya sih cukup solutif responsif tetep aja kecewa,positif,id
jual sangat sangat interaktif bantu barang nya original 1 bulan pakai masalah pakai lebih 2 jam lebih panas overall,positif,id
kirim nya cepat packing bya aman banget seller nya cepat merespon rekomended beli sini,positif,id
aku ambil pick up barang segel orisinal jepang moga awet hihi,positif,id
