Ulasan,Sentimen,Tipe Barang,Deteksi_Bahasa
cepat langsung kirim barang sesuai,positif,Samsung Galaxy A54 5G 8/256GB Garansi Resmi,id
barang original garansi resmi kemas segel spesifikasi sesuai lengkap sesuai barang mulus fungsi baik jual ramah banget proses pesan,positif,OPPO A60 8/128GB - Garansi Resmi,id
brgnya bagus sesuai order original waktu kirim cukup cepat,positif,"Samsung Galaxy Tab S9 WIFI [11""] 8/128GB - Garansi Resmi",id
original ibox barang aman admin gercep sangat bantu,positif,iPhone 15 128GB 256GB 512GB Garansi Resmi,id
barang oce,positif,Xiaomi POCO M6 Pro 8/256GB - Garansi Resmi,id
barang sesuai ku mau,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
mantap reseller,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
reseller amanah barang sesuai minta smoga jalin kerjasama baik,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
reseller sangat amanah barang sesuai minta tx jual,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
mantap barang nya segel original,positif,Xiaomi Redmi Pad SE 4/128GB Garansi Resmi,id
bagus mantap,positif,iPhone 11 Internal 64 GB iBox - Garansi Resmi,id
toko jual harga murah garansi resmimantabss,positif,iPhone 15 128GB 256GB 512GB Garansi Resmi,id
sampai packing aman jual responsivekita coba dulu 1 bln hihi,positif,iPhone 15 128GB 256GB 512GB Garansi Resmi,id
kirim luar biasa cepat servis mantap barang original pasti,positif,"Samsung Galaxy Tab S9 WIFI [11""] 8/128GB - Garansi Resmi",id
iphone nya bubble wrap nya tebel terima kasih tow moga ada kendala,positif,iPhone 15 128GB 256GB 512GB Garansi Resmi,id
revommended jual barang original full segel layan cepat,positif,Xiaomi Poco M5S NFC 4/64GB Garansi Resmi,id
oke sesuai pesan,positif,ITEL A70 4/64GB - Garansi Resmi,id
jual baik tokped beli hp harga lebih murah mantap,positif,Xiaomi Redmi 13C Support NFC 8/256GB - Garansi Resmi,id
paket di terima aman barang segel garansi resmi terima kasih,positif,Xiaomi Redmi 12 8/256GB Garansi Resmi,id
tengkiyu terima kasih hatur nuhun kamasia,positif,ITEL A70 4/64GB - Garansi Resmi,id
barang sesuai pesan packing rapi segel,positif,Xiaomi POCO M6 Pro 8/256GB - Garansi Resmi,id
moga awet,positif,Xiaomi Redmi 13C Support NFC 6/128GB - Garansi Resmi,id
garansi resmi barang original ram besar resolusi kamera bagus performa lancar packaging aman packaging rapi respon jual mantap proses pesan cepat enak biasa,positif,Samsung Galaxy Tab S8 Ultra 5G 12/256GB Garansi Resmi,id
barang original garansi sayang warna nya sesuai etalase jamin harga murah marketplace,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
barang sesuai gambar moga awet admin sabar ngejelasin tanya kirim ngebut,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
mantap baru segel,positif,Samsung Galaxy M54 5G 8/256GB - Garansi Resmi,id
barang original samsung segelll mua kirim lamaa,positif,"Samsung Galaxy Tab S9 WIFI [11""] 8/128GB - Garansi Resmi",id
barang terima baik bungkus bubble wrap tebal kirim cepat pesan pagi siang terima tablet mulus fungsi baik garansi,positif,Samsung Galaxy Tab S7 FE 5G 6/128GB Garansi Resmi,id
barang sesuai pesan datang bnib proses sangat gercep packing tebal aman thanks jual,positif,"Samsung Galaxy Tab S9 WIFI [11""] 8/128GB - Garansi Resmi",id
alhamdulilah barang,positif,Xiaomi Redmi Pad SE 4/128GB Garansi Resmi,id
sayacoba 6 jam an lebih ada kendala hp maupun software emas sangat bagus ada cacat box hp maupun hp garansi resmi sein p,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
mantap jual kualitas barang original,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
barang fungsi baik,positif,Infinix Note 40 4G 8/256GB - Garansi Resmi,id
honest review harga lebih murah toko proses cepat checkout minggu jam 930an jam 1330an udh kirim packaging aman barang repack br,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
terimakasih hp di terima kirim cepat barang garansi resmi,positif,Xiaomi Redmi 13C Support NFC 6/128GB - Garansi Resmi,id
terimakasih barang sampai jujurly bagus hpnya bohong jual asli saran banyakin vouchernya dari tokopedia verifikasi biar dapet gra,positif,Infinix Note 40 4G 8/256GB - Garansi Resmi,id
mantap harga murah barang original,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
barang original bnib bukan repackrefurbishrekon walo charge dulu mungkin karna terlalu lama di gudang produksi 202212,positif,Xiaomi Poco M5S NFC 4/64GB Garansi Resmi,id
pilih hitam kirim putih,negatif,Samsung Galaxy Buds FE,id
barang original respon jual mantap packaging aman packaging rapi jual ramah banget proses pesan cepat,positif,"Samsung Galaxy Tab S9 WIFI [11""] 8/128GB - Garansi Resmi",id
fast response makasihh om moga aman2 sajaaa,positif,Xiaomi Redmi 13C Support NFC 6/128GB - Garansi Resmi,id
mantap aman cepat,positif,Xiaomi Poco X5 5G 8/256GB Garansi Resmi,id
keren awal sangsi kok harga beda banding jual tapi jual langsung yakin produk resmi ibox terima kode paa woow sukses ter,positif,iPhone 15 Plus 128GB 256GB 512GB Garansi Resmi,id
layan jual mantap,positif,iPhone 15 Plus 128GB 256GB 512GB Garansi Resmi,id
mantapadmin cpt respon barang ok,positif,iPhone 13 128GB 256GB 512GB Garansi Resmi,id
respon cepat mantap barang original,positif,Realme 10 Pro 5G 8/128GB & 8/256GB Garansi Resmi,id
alhamdulillah keren banget gan ip 15 promax 256 gb segelresmi tamharga promo barang tinggal 2 kebagianharga miring habisdeket banget sama harga s,positif,iPhone 15 Pro Max 256GB 512GB 1TB Garansi Resmi,id
barang banget cepet proses,positif,Infinix Smart 8 Pro 8/128GB - Garansi Resmi,id
barang tebel moga2 awet jual fast respons,positif,Temperred Glass / Anti Gores Kaca / Anti Gores Handphone,id
mantap barang dateng tepat waktu,positif,Infinix Note 40 4G 8/256GB - Garansi Resmi,id
garansi resmi spesifikasi sesuai kemas segel warna sesuai pesan barang original fungsi baik proses pesan cepat packaging aman packaging rap,positif,Xiaomi POCO C65 NFC 6/128GB - Garansi resmi,id
barang full segel ada cacat fisik sedikit body atau plastik bodycek garansi resmi aman 1th website samsungthanks gan,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
barang segel garansi resmi recommended,positif,Samsung Galaxy S23 Ultra 5G 12/256GB Garansi Resmi,id
barang baguss,positif,iPhone 11 Internal 64 GB iBox - Garansi Resmi,id
proses cepat jual responsive,positif,Xiaomi Redmi Note 13 Pro PLUS 5G 12/512GB - Garansi Resmi,id
2019 beli iphone xr baru malas banget bayar 20an juta iphone baru specs sama xiaomi 14 anak lagi ngebantu pindah android makas,positif,Xiaomi Mi 14 5G 12/256GB - Garansi Resmi,id
mantap,positif,MURAH !! Evercoss Tab Bravo X7 3/32GB-Garansi Resmi,id
barang original kemas segel spesifikasi sesuai warna sesuai pesan lengkap sesuai,positif,Samsung Galaxy A35 5G 8/256GB - Garansi Resmi,id
nyangka cepat banget kondisi segel admin sangat baik packaging luar biasa deh,positif,Xiaomi POCO X6 Pro 5G 12/512GB - Garansi Resmi,id
alhamdulillah sesuai pesanansangat bagus baik fitur maupun harga,positif,ITEL P55 4G NFC 8+16/256GB - Garansi Resmi,id
produk sesuai deskripsi segel harga saing terima kasih banyak bantu jual,positif,Samsung Galaxy S24 Ultra 12/512GB - Garansi Resmi,id
kirim cepat packing rapi aman sengaja beli cari ringan aktivitas kerja 90 pakai aplikasi google moga awet sukses selalu jual,positif,DELL Chromebook 3100 Touch & Non Touch 4/32GB Intel Celeron N4020,id
barang sesuai pesananrecomendsaya kali kali belanja toko inimakasi,positif,Samsung Galaxy A05s 6/128GB Garansi Resmi,id
pairing samsung wearable lancar sealed barang packing kirim komunikasi jual,positif,Samsung Galaxy Buds FE,id
jual responsif proses cepat packing mantap barang aman tuju,positif,MURAH !! Evercoss Tab Bravo X7 3/32GB-Garansi Resmi,id
barang sesuai proses cepat sipp,positif,Infinix Note 40 4G 8/256GB - Garansi Resmi,id
baik fungsi baik,positif,NOKIA 105 SIMBA 2022 Garansi Resmi Tam,id
sesuai deskripsi barang asli masih segel hp produksi tahun 2022 update rom akhir januari 2024 jangan ragu beli hp sini yak liha,positif,Xiaomi Poco M5S NFC 4/64GB Garansi Resmi,id
barang dengan baik mantap,positif,Infinix Note 40 4G 8/256GB - Garansi Resmi,id
barang garansi resmi sesuai deskripsi kirim cepat packing aman recommended,positif,"Apple MacBook Air (13 inci, M1 2020) 8GB RAM, 256GB SSD-Garansi Resmi",id
packing rapi aman barang,positif,Xiaomi Poco X5 5G 6/128 GB Garansi Resmi,id
dapat cashback dapat cashback,negatif,Samsung Galaxy A10 [2GB/32GB] Garansi Resmi SEIN 1 Tahun,id
sampai lama susah hubung,negatif,APPLE Watch Series 3 Watch Alumunum GPS 38m Black+Gray MTF02 / MQLW2,id
barang oke kirim lamapesen pake instant courier serasa pake jne,negatif,Samsung Galaxy A50 2019 [4GB/64GB] Garansi Resmi SEIN 1 Tahun,id
barang sesuai bayar hari 17 mei 2019 kurir sameday tapi tidak proses janji chat mau pk jne yes biar sbtu minggu nyata zonk hari,negatif,Samsung Galaxy A10 [2GB/32GB] Garansi Resmi SEIN 1 Tahun,id
barang segel kartu garansi di isi jadi tidak tahu barang baru bekas,negatif,Vivo Y15 [ 4GB/64GB - 64 GB ] Garansi Resmi Vivo 1 Tahun,id
toko tanggung jawab sangat tidak dapat percaya mes apple pencil gen 2 tanya toko kata barang ready itu sayaa diberitahu barang,negatif,Apple Pencil Gen 2 For Compatible iPad Pro 2018,id
pesan ipad pakai packing kayu kirim pake bubble wrap aj payah,negatif,Packing Kayu For iPad,id
dus polos order 1 bilang mau kirim eh dicancel ama official store kek store bukan os,negatif,Samsung Galaxy A10 [2GB/32GB] Garansi Resmi SEIN 1 Tahun,id
manis chat deskripsi aja minta starry black malah kirim ocean dream kacau nih jual,negatif,Vivo Y91 [2GB/32GB] Garansi Resmi Vivo 1 Tahun,id
informasi dapat gambar akan dapat tas laptop pas barang tas nya di tanya lewat chat jawab nya tidak muas,negatif,"Laptop HP 14S 14"" AMD A9 9425 HD 4GB 1TB DK0023AU DK0024AU Notebook",id
bukan barang resmi barang luar tulis malaysia gitu,negatif,APPLE Airpods Gen 2 With Wireless Charging Case,id
order tgl 12 baru kirim tgl 19 tgl 14 pake status resi bohong barang buka di wrapping ulang,negatif,Vivo Y15 [ 4GB/64GB - 64 GB ] Garansi Resmi Vivo 1 Tahun,id
1 unit 1kg manipulasi ongkir nivu officialstore taek,negatif,Oppo Realme C2 [3GB/32GB] Garansi Resmi Oppo 1 Tahun,id
jual manis depan janji pahit belakang barang terima hati2 semua calon buyer jamin udh official store jual sangat profesional min,negatif,Oppo F9 [4GB/64GB] Garansi Resmi Oppo 1 Tahun,id
pack cm bubble tipis guna berat real produk buyer hrs bayar ongkir tidak perlu os abal2,negatif,Realme C2 [2GB/16GB] Garansi Resmi 1 Tahun,id
jual label os manipulasi ongkir bayar 18k resi cuma 9ktaek,negatif,Oppo Realme C2 [3GB/32GB] Garansi Resmi Oppo 1 Tahun,id
bayar tidak dipacking kayu,negatif,Packing Kayu For Apple Watch,id
kecewa barang sesuai deskrpisi datang gantung airtag chat sellernya malah responnya pura2 ngerti apa ditanyain,negatif,Apple AirTag / Airtags Original Brand New 4 Pack Kit Air Tag tags,id
orang nya teliti alat u buka sim injectornnya ada,negatif,Samsung Galaxy A7 2018 [6GB/128GB] - Blue Garansi Resmi SEIN 1 Tahun,id
toko official layan lebih buruq kaki lima tny stok kata ready lewat 2 hari ditny tidak kirim kagak respon ngu sampe last mute orde,negatif,APPLE Airpods Gen 2 With Wireless Charging Case,id
parah barang nya sampai jaring nya gabisa rubah lte4g seperti blok sama perintah alhasil refund kena pajak besar 287rb,negatif,Apple iPhone 11 Pro Max 256GB 256 Gray Silver Gold Green GARANSI RESMI,id
cara packingnya sangat jelek di lapis buble wrapalhasil kardus nya jebol,negatif,Sony Playstation PS 5 Disc Blue Ray/PS5 Digital Version Garansi Resmi,id
sangat kecewa layan official store kok jujur tanya kirim barang ngaku kirim hari juga nyata 3 hari kemudian baru kirim,negatif,Oppo A5s [3GB/32GB] Garansi Resmi 1 Tahun,id
bilang sabtu udah kirim eh nyata senin kirim malam respon jual lama bet lgi,negatif,Samsung Galaxy A30 2019 [4GB/64GB] Garansi Resmi SEIN 1 Tahun,id
kok barang kirim kayak barang secondtanpa plastik wrapharusnya minimal repack rapi bossjangan kayak gin jualanya beli barang baru malah kayak biasa,negatif,Realme C2 [2GB/16GB] Garansi Resmi 1 Tahun,id
manipulasi ongkir byr 18k resi 9k jual banksat taek,negatif,Oppo Realme C2 [3GB/32GB] Garansi Resmi Oppo 1 Tahun,id
layan sangat lambat kecewa,negatif,Samsung Galaxy M10 [2GB/16GB] Garansi Resmi SEIN 1 Tahun,id
bukan paling baru padahl tanya belum,negatif,Amazon Kindle Paperwhite No Ads White,id
jual sangat recomended sen biru deh kirim hitam parah bisa baca,negatif,Xiaomi Redmi Note 7 4GB 64GB - Garansi RESMI TAM 1 Tahun,id
kecewa segel buka sesuai deskripsi iklan colok lengkap jual tidak balas chat tidak respon diskusi baru kali nemu jual,negatif,Harman Kardon Onyx Studio 6 Bluetooth Portable Speaker Original not 5,id
packing kurang tebel barang penyok penyok,negatif,Apple Smart Keyboard Folio 11 / 10.9 inch - iPad Air 4 / Pro 2020 2018,id
warna sama pesan,negatif,"Apple Watch Series SE 2020 44mm 40mm Black Grey, White, Pink Gold 6",id
barang oke cm admin bnr layan,negatif,Apple Smart Keyboard Folio 11 / 10.9 inch - iPad Air 4 / Pro 2020 2018,id
hallo bintang 1 temenin silah coba beli aja biar rasa sendiri no more comments,negatif,GoPro Hero Max 360 Black Camera / Go Pro HeroMax Garansi Resmi TAM 8,id
barang datang dengan segel selotip transparan bukan segel original inti nya bukan bnob,negatif,Google Home Voice Activated WIFI Smart Speaker White ( Bukan Homepod ),id
lem nempel sama sekali kaya barang lama tanya jual tidak solusi cuma bilang barang baru,negatif,Tempered Glass untuk MacBook Air / Pro 13 Inch Anti Gores,id
produk terima dlm segel buka pdhl info produk tulis barang bnib brand new in box new original segel kartu garansi sudah isi,negatif,Oppo A3S [2GB/16GB] Garansi Resmi Oppo 1 Tahun,id
awal engga tau kalau warna grey depan hitam telah beberapa jam minta jual ganti warna gold karena mau depan war,negatif,APPLE iPad 6 2018 32GB WiFi / iPad Gen 6th Garansi 1 Tahun,id
asli muas banget pdhl udh sen jam 12 siang jam 2 trs pake gosend instan deh kirim barang besok kecewa banget kardus penyok dapat headset,negatif,Samsung Galaxy A30S 2019 [ 4GB 64GB 64 ] Black Green White Resmi SEIN,id
packing kayu masuk uang ambil trus tidak dibalikin uang packing kayu ku kalau janji pakai packing kayu mohon tepat,negatif,Packing Kayu For iPad,id
after sales banget pokok garansi udah aktif padahal tanya awal bilang non aktif jangan beli sini guys,negatif,Apple Pencil Gen 2 2nd For Compatible iPad Pro,id
di wrapping ulang toko biasa diwrapping ulang,negatif,Oppo Realme C2 [3GB/32GB] Garansi Resmi Oppo 1 Tahun,id
jangan beli dsini lelet proses nya sampe nya lama next day nyampe nya next next day,negatif,Samsung Galaxy A20 2019 [3GB/32GB] Garansi Resmi SEIN 1 Tahun,id
bayar hari kamis datang hari selasa padahal pakai ongkirnya bayar 1 hari sampaibukan jasa ekspedisi toko kirim expedisinya hari se,negatif,Xiaomi Redmi 7 3GB 32GB / 32 GB - Garansi RESMI TAM 1 Tahun,id
admin nya cuek sekali hampir kirim warnah random sya lupa masuk terang trs sya request warnah chat admin nya responsif bilang nya tel,negatif,"Macbook Air 2019 13"" i5 8GB 128GB Gray Silver Gold MVFH2 MVFK2 MVFM2",id
kecewa layan pengirimanyayg harus kemarin baru kirim keesokanya driver ojolnya keluh mau pick up jual tdak mau ban,negatif,Xiaomi Mi TV 4A 43â³ / 43 inch Smart TV - Garansi RESMI TAM 1 Tahun,id
barang masalah layan toko perlu sabar tingkat malaikat transaksi tgl 14 des barang baru kirim tgl 17 des itu status doang ada,negatif,Oppo A5 2020 [ 3GB / 64GB 64 ] White / Black Garansi Resmi Oppo,id
bilang udah kirim tau besok baru kirim percuma pake gosend nyampenya besok chat responnya lama harga waktu tidak harga beli,negatif,Samsung Galaxy M30S [ 4GB 64GB 64 ] Black Blue White Resmi SEIN,id
produk so far jual model yang iya2 aja pokok order dulu a is order masa bodo kalau buyer terima kasih status awal ok2 aja vida kirim lsg nyata nya beda dita,negatif,Apple TV 4K 32 GB - Garansi Resmi,id
kata packing kayu barang smp nyata cuman bungkus bubble wrap doankalhasil deh kerdusnya penyok2,negatif,Packing Kayu For iPad,id
kirim lama 4 hari barang baru smpe kecewa not recomened for me,negatif,Samsung Galaxy A10S 2019 [ 2GB 32GB 32 ] Black Green Red GARANSI SEIN,id
tunjuk profesional toko status officialchat pertama kali warna biru bilang ready saya langsung order ke esok hari nya informasi,negatif,Realme 5 Pro [ 8GB / 128GB 128 ] Blue Green Garansi Realme 1 Tahun,id
barang terima beli hp sengaja pakai grab instan harap dikrm hari sama alamat kantor eh barang malah baru dikrm bsk nya padahal libur mau aju,negatif,Xiaomi Redmi 8 4GB 64GB / 64 GB - Blue Red Black - Garansi RESMI TAM,id
barang kirim sampe 8 hari lapak brengsek,negatif,Samsung Galaxy A10S 2019 [ 2GB 32GB 32 ] Black Green Red GARANSI SEIN,id
sumpah toko ribet banget layan gara2 pesan pesan datengnya lama sekali 2 minggu padahal saya pakai kirim instant pesan saya,negatif,Apple TV 4K 32 GB - Garansi Resmi,id
barang hilang dipemgiriman pemgembalian uang ribetnya minta ampun sampe ini tulis comment aja bom balik tuj duit,negatif,APPLE AIRPODS PRO WITH WIRELESS CHARGING ORIGINAL AIRPOD SUP IPHONE 12,id
tipuuu order warna hitam bilang ready stlh bayar baru ngaku kalo warna hitam nyalahin autoteks lalu blg kalo besok baru ada akhir hrs terima deh,negatif,Huawei P30 Pro 8GB / 256GB Garansi 1 Tahun,id
nyeseeeelllll beli dsniii kirim lama attitude jual bagus kasi resi salah alamat hp tuju salah pokona recommend banget,negatif,Oppo A5s [3GB/32GB] Garansi Resmi 1 Tahun,id
kirim sangat lama sesuai omong awal,negatif,Samsung Galaxy S10 Plus / S10+ [8GB/128GB] Garansi 1 Tahun,id
paket tidak pakai packing kayu,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
jne parahpaket datang packing kayu alhasil tempred glass datang kondisi pecah,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
baca deskripsi teliti packing kayu jne saya pilih packing kayu pilih jne sesuai arah jual untuk beli ipad 7 128g dar,negatif,"Apple iPad 7 2019 10.2"" Cellular / Wifi 128GB 128 Grey Silver Gold",id
layan buruk responsif,negatif,Nintendo Ring Fit Adventure Ringfit for Nintendo Switch,id
barang telat 2 hari padahal pesan grab sameday kurir kirim beda orang toko ikut sistem tokped kecewa berat padahal official store tangan t,negatif,"Apple iPad 7 2019 10.2"" Cellular / Wifi 128GB 128 Grey Silver Gold",id
layan purna jual sangat buruk 2 bulan beli kindle mati tanya toko arah chat responnya lama sekali berbulanbulan direspon,negatif,Amazon New Kindle Paperwhite 10th Gen 32GB Black,id
barang sampe selamat trus pesan ipad pro dijanjiin kirim hari juga sampe 2 hari kirim minta cancel gantung 3 hari orang ng,negatif,"Apple iMac 2020 MHK23 4K 21.5"" i3 3.6Ghz Gen 8 8GB 256GB SSD IBOX Pro",id
barang sangat lama guna kurir jne lebih baik pakai jasa kurir lain hapus pilih kurir jne awal trackpad telah download aplikasi resmi l,negatif,Backlit Keyboard iPad Air 5 4 Logitech Folio Touch with Trackpad Case,id
lama belanja 6 tahun toped alam paling buruk saya alami salah kirim barang jual tetap ngotot pdhl brgnya urgent sblm beli tanyain s,negatif,Apple Smart Keyboard Folio 11 / 10.9 inch - iPad Air 4 / Pro 2020 2018,id
unit gaada masalah untuk layan studio ponsel sangat profesional,negatif,Apple Airpods 3 MagSafe Wireless Charging Case Original MME73,id
pecah padahal pake buble wrap mending jangan paket hemat gan,negatif,Paket Hemat Tempered Glass + Softcase For iPad 10.9 / Air 4,id
baru pake sekali barang udah bisa dipakedicas isi isi,negatif,Apple Magsafe Battery Pack For iPhone 12 mini Pro Max 1460mAh Original,id
jangan beli sini dapat apple watch bekascurian diconnect hp sama sekali aftersales tidak mau bantu sangat kasar sekarang apple watc,negatif,iBox Apple Watch Series 7 2021 41mm 45mm Nike iWatch Not 6 SE 40 44,id
ada packing kayu guna padahal bayar,negatif,KHUSUS JNE dan JNT Packing Kayu For Macbook / Laptop 13 -14,id
kecewa banget hp ada jaring sama sekali udah minggu dapat solusi nya bingung mw gimana tolong segera deh follow up nnti klau udah baik tidak,negatif,iBox iPhone 13 512GB 256GB 128GB White Black Blue Resmi Bukan 12 mini,id
dipacking kayu sesuai request,negatif,KHUSUS JNE dan JNT Packing Kayu For Macbook / Laptop 13 -14,id
gambar display warna putih beli tanya kolom diskusi jawab warna putih yang terima warna hitam kecewa jadi sekarang puny,negatif,Playstation Pulse 3D Wireless Headset Original PS5 Gaming Headphone,id
imei hp ke blockir tidak pakai hp nya bagaimana tolong segera ditanganin saya pakai buat kerja,negatif,iBox iPhone 13 512GB 256GB 128GB White Black Blue Resmi Bukan 12 mini,id
udah chat bubble wrap tebel cs bilang sampe rumh tipis banget bubble wrepnya sampe penyok untung unit aman jadi kurang percaya,negatif,"iPad 9 2021 10.2"" 256GB Wifi Cellular Cell 64GB Grey Silver Resmi 8",id
barang tidak datang makan uang saya doa kan mudah 2an dintabrak kendaran patah seluruh tulang tubuh nya mata nya buata semua,negatif,Bubble Wrap Tambahan Untuk Packing Barang Anda Lebih Aman,id
overprice admin ngurusin kalo masalah,negatif,Microsoft Office Home & Student 2021 Original PC Mac Home and Student,id
banyak gelembungkualitas barang jelek,negatif,Tempered Glass untuk MacBook Air / Pro 13 Inch Anti Gores,id
tipis banget,negatif,Bubble Wrap Tambahan Untuk Packing Barang Anda Lebih Aman,id
beli apple watch sini minta packing kayu barang packingan kayu malah instruksi khusus tera tanpa packing kayu sini rugi meningkatn,negatif,KHUSUS JNE dan JNT Packing Kayu For Apple Watch,id
kak bagaimana pernah jatuh atau rusa tapi suara di hasil kan sangat pecah respon nya yakarna saya baru coba bass nya peca,negatif,Harman Kardon Aura Studio 3 Bluetooth Wireless Speaker Original,id
barang terima komplain kembali saldo,negatif,"KHUSUS JNE / JNT Packing Kayu For Macbook / Laptop 11"" inch - 13"" inch",id
jual payah sesuai janji sengaja pickup mepet waktu kirim besok,negatif,APPLE AIRPODS PRO WITH WIRELESS CHARGING ORIGINAL AIRPOD SUP IPHONE 12,id
pesan tidak pakai hmm,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
barang repacking,negatif,Xiaomi Redmi 7A 2GB 16GB / 16 GB Black Blue Garansi RESMI TAM 1 Tahun,id
sebenernya pihak jual baik banget barang oke respon oke pesan packing box kayu kayu kirim sama pihak jne alhasil uang 80k layang tau gin din,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
invoice inv20221102mpl2787683776 beli iphone 13 pro max garansi inter pakai baru 2 minggu tibatiba sinyal hilang chat jual wa after sales bilang proses,negatif,SPESIAL REQUEST BUAT CUSTOMER STUDIO PONSEL,id
niat beli iphone 13 pro 128gb tau review yutuber akhir pilih studio ponsel beli saya pantau lama 3 hari akhir,negatif,(iBox) iPhone 12 Pro 512GB 256GB 128GB Resmi bkn Max iPhone 13,id
kirim sangat lambat not recomended sudah bayar chat langsung lama balas,negatif,Oppo A9 2020 [ 8GB / 128GB 128 ] Green / Purple Garansi Resmi Oppo,id
packing kayu,negatif,KHUSUS JNE dan JNT Packing Kayu For Apple Watch,id
asa tipu deskripsi ket pas pesan barang datang sangat kecewa,negatif,GoPro Hero 8 / Go Pro Hero 8 / Hero8 Black Action Camera,id
tau mau blg apa baru jadi aku transaksi ini barang awal info kosong saran batal sesydah aku aju batal bi jual,negatif,Xiaomi Redmi 7A 2GB 16GB / 16 GB Black Blue Garansi RESMI TAM 1 Tahun,id
layan big no,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
produk original tpi jual layan jelek,negatif,Realme 5i / 5 i [ 3GB 32GB / 32 GB ] [ 4GB 64GB / 64 GB ] Blue Green,id
terimakasih barang sampai cuman kirim nya deh baik bukan kurir dari proses jual serah barang kurir nya bener2 lambat 2x pes,negatif,Realme 6 Pro 8 GB 128GB 128 Blue Red Garansi Realme Indonesia 1 Tahun,id
barang kirim konfirmasi lebih bahwa barang kosong memang uang direfund yang mau beli barang tokopedia bukan ajang saling,negatif,Ac Plugin port indonesia For compatible all macbook Pro / Macbook AIr,id
kirim guna packing kayu padahal dana bayar,negatif,Packing Kayu For iPad,id
pertama akhir belanja sini kecewa pesan grab instant harap proses cepat malah proses nextday beli direspon2 official store padahal,negatif,Samsung Galaxy M30S [ 4GB 64GB 64 ] Black Blue White Resmi SEIN,id
terima bukan tempered glass,negatif,Tempered Glass untuk MacBook Air / Pro 13 Inch Anti Gores,id
mes pakai packing kayu barang datang guna packing kayu,negatif,KHUSUS JNE dan JNT Packing Kayu For iPad,id
packing barang parah beli mangkok harga 100rb an aja packing bubblenya jauh lebih tebal ipad pro 26jt an hati hati kawan kecewa 1 beli p,negatif,"Apple iPad Pro 2020 12.9"" inch ( Gen 4 4th ) 512GB 512 GB Silver Gray",id
layan buruk beli barang baru kasih bekaspas nyala notif icloud orang komplain slow responngotot barang barudikira pertama kali punya produk apple,negatif,"Apple iPad Pro 2020 11"" inch 1TB 512GB 256GB 128GB Wifi Celluler 4th 2",id
very jelek support barang baru pakai 3 jam power adapter rusak minta kirim semua unit ongkir bolak balik yang nanggung bicara dengan tea,negatif,Apple Homepod Mini Original Speaker Home Pod Bukan Nest Mini,id
jelek support baru konfirmasi terima barang besok power adapter homepod rusak klaim minta seluruh unit kirim balik saya harus nanggung on,negatif,Apple Homepod Mini Original Speaker Home Pod Bukan Nest Mini,id
udah lumayan sering belanja toko belum nya layan tapi kali saya bener2 kecewa kasih hp unsealed garansi udah jalan oktober 2020 padah,negatif,Apple iPhone 11 Pro Max XI Pro Max 64GB 64 GB Gray Silver Gold Green,id
barang lengkapdengan enak bilang udh ada jual sangat profesional,negatif,GoPro Hero 8 / Go Pro Hero 8 / Hero8 Black Action Camera,id
beli paket datang nya malah non paket urus lewat komplain ribetnya luar biasa akhir malah dapat kembali sisa dana jera dah blanja deh sini,negatif,Apple Watch Series 6 2020 44mm 40mm Black White Pink Gold Red Blue SE,id
kecewa berat sih beli toko heres the list why 1 deskripsi tulis garansi non aktif nyata garansi udah aktif sejak bulan lalu lalu aku ki,negatif,iPhone 12 Pro / ProMax Max 256gb 256 Graphite Silver Gold Blue iBox,id
beli 2 kirim cuma 1 hari sama 1lg malah bsk nya baru kirim pdhl dah buru2 byr itu untuk kado payah deh,negatif,Apple Macbook Air 2020 M1 Chip 13 inch 256GB Touch ID Grey Silver Gold,id
kata ekg telah konfirmasi 2x chat nyata bisa jual beri solusi apa hati2 yang belanja tidak percaya 10,negatif,Apple Watch Series 6 2020 44mm 40mm Black White Pink Gold Red Blue SE,id
tulis kindle paperwhite 10th gen saya dapet 10th gen malah 8th gen,negatif,Amazon New Kindle Paperwhite 10th Gen 32GB Black,id
layan baik rugi ongkir beli sini,negatif,Apple Macbook Air 2020 M1 Chip 13 inch 256GB Touch ID Grey Silver Gold,id
